name,type,block_index,num_params,mean,std,abs_mean,skewness,kurtosis,sparsity_0.7,alpha_0.7,quant_error_0.7,weight_norm_l2,effective_rank,sensitivity_ratio,ternary_friendliness
model.layers.3.self_attn.q_proj,q_proj,3,4194304,-0.000018,0.027063,0.020581,0.0022,1.2454,0.4576,0.032161,0.483762,55.4266,191.39,,
model.layers.3.self_attn.k_proj,k_proj,3,524288,0.000078,0.047688,0.035829,0.0031,1.5316,0.4643,0.056631,0.494430,34.5305,179.67,,
model.layers.3.self_attn.v_proj,v_proj,3,524288,-0.000003,0.011424,0.008992,0.0036,0.2500,0.4341,0.013573,0.448571,8.2721,201.74,0.9990,0.5520
model.layers.3.self_attn.o_proj,o_proj,3,4194304,0.000009,0.014257,0.011242,0.0057,1.8936,0.4266,0.016768,0.454722,29.1998,200.35,,
model.layers.3.mlp.gate_proj,gate_proj,3,11534336,-0.000047,0.018702,0.014863,0.0005,0.2247,0.4258,0.022129,0.442620,63.5089,204.15,,
model.layers.3.mlp.up_proj,up_proj,3,11534336,-0.000003,0.017396,0.013839,0.0002,0.1702,0.4249,0.020588,0.441023,59.0722,205.86,,
model.layers.3.mlp.down_proj,down_proj,3,11534336,0.000006,0.017289,0.013736,0.0086,0.7537,0.4255,0.020445,0.443262,58.7081,205.51,,
model.layers.4.self_attn.q_proj,q_proj,4,4194304,0.000009,0.026049,0.019929,0.0003,1.2018,0.4526,0.030908,0.478822,53.3500,196.34,2.0600,0.2530
model.layers.4.self_attn.k_proj,k_proj,4,524288,0.000046,0.048955,0.036824,-0.0015,1.7290,0.4640,0.058128,0.494265,35.4480,186.74,2.3200,0.2180
model.layers.4.self_attn.v_proj,v_proj,4,524288,0.000030,0.010104,0.007917,0.0008,0.3688,0.4365,0.011990,0.454424,7.3160,201.14,,
model.layers.4.self_attn.o_proj,o_proj,4,4194304,-0.000003,0.013983,0.011021,0.0044,0.9018,0.4312,0.016545,0.451307,28.6387,202.59,1.0030,0.5471
model.layers.4.mlp.gate_proj,gate_proj,4,11534336,-0.000036,0.018957,0.015060,0.0015,0.2454,0.4253,0.022416,0.443000,64.3748,204.43,,
model.layers.4.mlp.up_proj,up_proj,4,11534336,-0.000009,0.017347,0.013800,0.0014,0.1225,0.4262,0.020556,0.440628,58.9034,205.25,,
model.layers.4.mlp.down_proj,down_proj,4,11534336,-0.000001,0.017276,0.013735,0.0018,0.3666,0.4255,0.020443,0.442060,58.6627,205.22,,
model.layers.5.self_attn.q_proj,q_proj,5,4194304,-0.000022,0.027067,0.020699,0.0011,0.9557,0.4548,0.032233,0.476243,55.4351,193.46,2.6100,0.2007
model.layers.5.self_attn.k_proj,k_proj,5,524288,0.000021,0.050235,0.037836,0.0104,1.2418,0.4652,0.060019,0.486350,36.3746,183.29,2.4700,0.2080
model.layers.5.self_attn.v_proj,v_proj,5,524288,0.000003,0.011516,0.009073,-0.0003,0.2280,0.4341,0.013696,0.446785,8.3386,204.23,,
model.layers.5.self_attn.o_proj,o_proj,5,4194304,-0.000002,0.014547,0.011483,0.0102,1.7943,0.4275,0.017144,0.452585,29.7948,204.12,,
model.layers.5.mlp.gate_proj,gate_proj,5,11534336,-0.000034,0.019183,0.015215,0.0065,0.6237,0.4266,0.022682,0.445305,65.1408,203.90,,
model.layers.5.mlp.up_proj,up_proj,5,11534336,0.000007,0.017417,0.013834,0.0021,0.2130,0.4262,0.020615,0.442745,59.1412,206.07,,
model.layers.5.mlp.down_proj,down_proj,5,11534336,0.000008,0.017321,0.013759,-0.0097,0.6048,0.4256,0.020489,0.442895,58.8167,204.46,,
model.layers.6.self_attn.q_proj,q_proj,6,4194304,0.000009,0.026338,0.019677,0.0025,1.7459,0.4692,0.031373,0.496937,53.9396,184.00,1.4900,0.3376
model.layers.6.self_attn.k_proj,k_proj,6,524288,0.000120,0.047062,0.035071,0.0181,1.8661,0.4709,0.056039,0.499726,34.0770,179.82,1.8600,0.2690
model.layers.6.self_attn.v_proj,v_proj,6,524288,-0.000003,0.011273,0.008666,0.0015,0.6754,0.4514,0.013437,0.469538,8.1624,197.65,,
model.layers.6.self_attn.o_proj,o_proj,6,4194304,0.000005,0.014049,0.010938,0.0048,2.4862,0.4363,0.016542,0.467473,28.7746,199.99,,
model.layers.6.mlp.gate_proj,gate_proj,6,11534336,0.000042,0.019554,0.015443,-0.0042,0.5519,0.4299,0.023119,0.450552,66.3965,203.27,,
model.layers.6.mlp.up_proj,up_proj,6,11534336,-0.000001,0.017163,0.013621,0.0025,0.2530,0.4279,0.020337,0.443425,58.2777,205.32,,
model.layers.6.mlp.down_proj,down_proj,6,11534336,-0.000003,0.017118,0.013557,-0.0005,1.0174,0.4275,0.020234,0.447137,58.1269,205.30,,
model.layers.7.self_attn.q_proj,q_proj,7,4194304,-0.000021,0.026581,0.019536,0.0029,4.5950,0.4700,0.031100,0.523913,54.4393,182.84,,
model.layers.7.self_attn.k_proj,k_proj,7,524288,0.000029,0.044974,0.033027,0.0022,2.2561,0.4792,0.053391,0.515849,32.5654,175.62,,
model.layers.7.self_attn.v_proj,v_proj,7,524288,-0.000020,0.012971,0.009975,-0.0027,0.8508,0.4474,0.015379,0.472481,9.3923,199.75,,
model.layers.7.self_attn.o_proj,o_proj,7,4194304,0.000011,0.014918,0.011636,-0.0019,1.6670,0.4359,0.017579,0.465465,30.5532,201.26,,
model.layers.7.mlp.gate_proj,gate_proj,7,11534336,0.000053,0.020885,0.016354,0.0037,0.8939,0.4335,0.024623,0.461019,70.9110,199.59,,
model.layers.7.mlp.up_proj,up_proj,7,11534336,0.000010,0.016848,0.013338,-0.0019,0.3666,0.4276,0.019929,0.446125,57.2082,205.51,,
model.layers.7.mlp.down_proj,down_proj,7,11534336,0.000001,0.016734,0.013216,0.0397,3.1693,0.4297,0.019798,0.449051,56.8220,203.25,,
model.layers.8.self_attn.q_proj,q_proj,8,4194304,-0.000032,0.027280,0.020215,-0.0039,1.8961,0.4761,0.032665,0.498812,55.8702,187.15,1.4300,0.3505
